road,lat,lon,current_speed,free_flow_speed,confidence,timestamp,congestion_percent,rush_hour,congestion_level,low_confidence,is_weekend,hour,speed_diff,temperature,weathercode,weather
Boulevard,-5.156843,119.446864,18,24,0.930367,2025-05-31 16:51:49,25.0,True,Low,False,True,16,-7.0,26.1,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,24,36,0.976378,2025-05-31 16:51:50,33.333333333333336,True,Moderate,False,True,16,6.0,26.1,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.971367,2025-05-31 16:51:51,25.71428571428571,True,Low,False,True,16,2.0,26.1,51,drizzle
Boulevard,-5.156843,119.446864,19,24,0.905276,2025-05-31 16:56:52,20.833333333333336,True,Low,False,True,16,-7.0,26.1,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,36,0.971271,2025-05-31 16:56:52,30.555555555555557,True,Moderate,False,True,16,6.0,26.1,51,drizzle
Sultan Alauddin,-5.202323,119.495785,25,34,0.972351,2025-05-31 16:56:53,26.470588235294112,True,Low,False,True,16,0.0,26.1,51,drizzle
Boulevard,-5.156843,119.446864,20,25,0.894987,2025-05-31 17:01:54,19.999999999999996,True,Low,False,True,17,-5.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,24,35,0.967725,2025-05-31 17:01:54,31.428571428571427,True,Moderate,False,True,17,4.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.973217,2025-05-31 17:01:56,25.71428571428571,True,Low,False,True,17,2.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,20,24,0.909276,2025-05-31 17:06:57,16.666666666666664,True,Low,False,True,17,-6.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,36,0.959298,2025-05-31 17:06:58,30.555555555555557,True,Moderate,False,True,17,5.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.97062,2025-05-31 17:06:59,23.529411764705888,True,Low,False,True,17,1.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.897549,2025-05-31 17:12:00,26.086956521739136,True,Low,False,True,17,-9.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.975104,2025-05-31 17:12:01,27.77777777777778,True,Low,False,True,17,9.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.967802,2025-05-31 17:12:02,23.529411764705888,True,Low,False,True,17,0.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,19,24,0.875696,2025-05-31 17:17:03,20.833333333333336,True,Low,False,True,17,-7.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,35,0.983718,2025-05-31 17:17:04,28.57142857142857,True,Low,False,True,17,6.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,25,34,0.963219,2025-05-31 17:17:04,26.470588235294112,True,Low,False,True,17,0.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.859977,2025-05-31 17:22:06,21.739130434782606,True,Low,False,True,17,-7.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,35,0.987911,2025-05-31 17:22:07,25.71428571428571,True,Low,False,True,17,8.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.94561,2025-05-31 17:22:08,25.71428571428571,True,Low,False,True,17,0.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,18,22,0.880468,2025-05-31 17:27:09,18.181818181818176,True,Low,False,True,17,-8.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,36,0.99176,2025-05-31 17:27:10,30.555555555555557,True,Moderate,False,True,17,7.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.950374,2025-05-31 17:27:11,23.529411764705888,True,Low,False,True,17,1.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 17:32:13,0.0,True,Low,False,True,17,-3.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,36,0.9937,2025-05-31 17:32:13,30.555555555555557,True,Moderate,False,True,17,2.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,34,0.932343,2025-05-31 17:32:14,20.588235294117652,True,Low,False,True,17,2.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 17:37:15,0.0,True,Low,False,True,17,-4.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.993185,2025-05-31 17:37:16,27.77777777777778,True,Low,False,True,17,3.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.9362,2025-05-31 17:37:16,22.857142857142854,True,Low,False,True,17,1.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 17:42:17,0.0,True,Low,False,True,17,-4.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,35,0.992119,2025-05-31 17:42:18,28.57142857142857,True,Low,False,True,17,2.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.961301,2025-05-31 17:42:19,22.857142857142854,True,Low,False,True,17,2.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.882731,2025-05-31 17:47:20,21.739130434782606,True,Low,False,True,17,-9.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.988514,2025-05-31 17:47:22,27.77777777777778,True,Low,False,True,17,8.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.963072,2025-05-31 17:47:23,22.857142857142854,True,Low,False,True,17,1.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.897658,2025-05-31 17:52:24,21.739130434782606,True,Low,False,True,17,-9.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,35,0.990215,2025-05-31 17:52:25,25.71428571428571,True,Low,False,True,17,8.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.971447,2025-05-31 17:52:26,23.529411764705888,True,Low,False,True,17,0.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.913803,2025-05-31 17:57:28,21.739130434782606,True,Low,False,True,17,-8.0,26.3,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,36,0.985572,2025-05-31 17:57:28,30.555555555555557,True,Moderate,False,True,17,7.0,26.3,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.972064,2025-05-31 17:57:29,25.71428571428571,True,Low,False,True,17,1.0,26.3,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.905173,2025-05-31 18:02:30,21.739130434782606,False,Low,False,True,18,-8.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,36,0.986316,2025-05-31 18:02:32,33.333333333333336,False,Moderate,False,True,18,6.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,34,0.973453,2025-05-31 18:02:33,23.529411764705888,False,Low,False,True,18,2.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,18,23,0.910069,2025-05-31 18:07:34,21.739130434782606,False,Low,False,True,18,-8.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,36,0.984776,2025-05-31 18:07:36,33.333333333333336,False,Moderate,False,True,18,6.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,34,0.963407,2025-05-31 18:07:37,23.529411764705888,False,Low,False,True,18,2.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,19,24,0.937224,2025-05-31 18:12:37,20.833333333333336,False,Low,False,True,18,-7.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,35,0.9848,2025-05-31 18:12:39,31.428571428571427,False,Moderate,False,True,18,5.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,35,0.935591,2025-05-31 18:12:39,25.71428571428571,False,Low,False,True,18,2.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,17,23,0.929719,2025-05-31 18:17:40,26.086956521739136,False,Low,False,True,18,-9.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,36,0.983561,2025-05-31 18:17:41,33.333333333333336,False,Moderate,False,True,18,7.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,25,34,0.934017,2025-05-31 18:17:44,26.470588235294112,False,Low,False,True,18,1.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,17,23,0.930931,2025-05-31 18:22:46,26.086956521739136,False,Low,False,True,18,-8.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,36,0.98555,2025-05-31 18:22:47,33.333333333333336,False,Moderate,False,True,18,7.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,35,0.898491,2025-05-31 18:22:48,25.71428571428571,False,Low,False,True,18,2.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,18,23,0.926388,2025-05-31 18:27:49,21.739130434782606,False,Low,False,True,18,-8.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,36,0.985283,2025-05-31 18:27:50,27.77777777777778,False,Low,False,True,18,8.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,34,0.865222,2025-05-31 18:27:51,23.529411764705888,False,Low,False,True,18,0.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 18:32:53,0.0,False,Low,False,True,18,-3.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,35,0.984287,2025-05-31 18:32:55,25.71428571428571,False,Low,False,True,18,3.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,34,0.849041,2025-05-31 18:32:56,23.529411764705888,False,Low,False,True,18,0.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 18:38:02,0.0,False,Low,False,True,18,-3.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,35,0.979155,2025-05-31 18:38:03,31.428571428571427,False,Moderate,False,True,18,1.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,34,0.846352,2025-05-31 18:38:05,23.529411764705888,False,Low,False,True,18,2.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,17,23,0.904884,2025-05-31 18:43:06,26.086956521739136,False,Low,False,True,18,-9.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,35,0.972346,2025-05-31 18:43:08,31.428571428571427,False,Moderate,False,True,18,7.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.839909,2025-05-31 18:43:09,20.588235294117652,False,Low,False,True,18,3.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,18,24,0.924644,2025-05-31 18:48:10,25.0,False,Low,False,True,18,-9.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,36,0.960848,2025-05-31 18:48:11,33.333333333333336,False,Moderate,False,True,18,6.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-31 18:48:11,0.0,False,Low,False,True,18,11.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,18,23,0.932028,2025-05-31 18:53:12,21.739130434782606,False,Low,False,True,18,-17.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,35,0.965803,2025-05-31 18:53:14,31.428571428571427,False,Moderate,False,True,18,6.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-31 18:53:15,0.0,False,Low,False,True,18,11.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 18:58:16,0.0,False,Low,False,True,18,-12.0,26.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,24,36,0.98118,2025-05-31 18:58:17,33.333333333333336,False,Moderate,False,True,18,1.0,26.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,35,0.861322,2025-05-31 18:58:19,22.857142857142854,False,Low,False,True,18,3.0,26.3,3,cloudy
Boulevard,-5.156843,119.446864,18,22,0.91,2025-05-31 19:03:21,18.181818181818176,False,Low,False,True,19,-9.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,23,35,0.985816,2025-05-31 19:03:22,34.285714285714285,False,Moderate,False,True,19,5.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.928926,2025-05-31 19:03:22,25.71428571428571,False,Low,False,True,19,3.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 19:08:23,0.0,False,Low,False,True,19,-3.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,35,0.987093,2025-05-31 19:08:25,28.57142857142857,False,Low,False,True,19,2.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.932998,2025-05-31 19:08:28,23.529411764705888,False,Low,False,True,19,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 19:13:29,0.0,False,Low,False,True,19,-3.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,36,0.989097,2025-05-31 19:13:30,30.555555555555557,False,Moderate,False,True,19,2.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.932422,2025-05-31 19:13:30,25.71428571428571,False,Low,False,True,19,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 19:18:32,0.0,False,Low,False,True,19,-3.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,25,36,0.988462,2025-05-31 19:18:33,30.555555555555557,False,Moderate,False,True,19,2.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.934709,2025-05-31 19:18:37,25.71428571428571,False,Low,False,True,19,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.88089,2025-05-31 19:23:38,21.739130434782606,False,Low,False,True,19,-8.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,35,0.987149,2025-05-31 19:23:39,25.71428571428571,False,Low,False,True,19,8.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,35,0.925091,2025-05-31 19:23:40,25.71428571428571,False,Low,False,True,19,0.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 19:28:41,0.0,False,Low,False,True,19,-3.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.982035,2025-05-31 19:28:42,27.77777777777778,False,Low,False,True,19,3.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.885987,2025-05-31 19:28:42,23.529411764705888,False,Low,False,True,19,0.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.843407,2025-05-31 19:33:43,21.739130434782606,False,Low,False,True,19,-8.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,35,0.982289,2025-05-31 19:33:45,25.71428571428571,False,Low,False,True,19,8.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.890255,2025-05-31 19:33:47,22.857142857142854,False,Low,False,True,19,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 19:38:48,0.0,False,Low,False,True,19,-4.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,27,35,0.982611,2025-05-31 19:38:51,22.857142857142854,False,Low,False,True,19,4.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.910344,2025-05-31 19:38:52,19.999999999999996,False,Low,False,True,19,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 19:43:53,0.0,False,Low,False,True,19,-5.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,27,35,0.987315,2025-05-31 19:43:54,22.857142857142854,False,Low,False,True,19,4.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.931074,2025-05-31 19:43:58,19.999999999999996,False,Low,False,True,19,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 19:49:01,0.0,False,Low,False,True,19,-5.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.989107,2025-05-31 19:49:01,27.77777777777778,False,Low,False,True,19,3.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.948437,2025-05-31 19:49:02,22.857142857142854,False,Low,False,True,19,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,18,24,0.883921,2025-05-31 19:54:03,25.0,False,Low,False,True,19,-9.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,27,36,0.989117,2025-05-31 19:54:05,25.0,False,Low,False,True,19,9.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.953796,2025-05-31 19:54:06,22.857142857142854,False,Low,False,True,19,0.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.890052,2025-05-31 19:59:09,26.086956521739136,False,Low,False,True,19,-10.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,28,35,0.989277,2025-05-31 19:59:10,19.999999999999996,False,Low,False,True,19,11.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.966363,2025-05-31 19:59:11,22.857142857142854,False,Low,False,True,19,-1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.888453,2025-05-31 20:04:12,26.086956521739136,False,Low,False,True,20,-10.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,28,36,0.986215,2025-05-31 20:04:13,22.22222222222222,False,Low,False,True,20,11.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.965215,2025-05-31 20:04:14,23.529411764705888,False,Low,False,True,20,-2.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,16,23,0.881734,2025-05-31 20:09:15,30.434782608695656,False,Moderate,False,True,20,-10.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,27,35,0.969405,2025-05-31 20:09:17,22.857142857142854,False,Low,False,True,20,11.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.960395,2025-05-31 20:09:18,22.857142857142854,False,Low,False,True,20,0.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.888148,2025-05-31 20:14:22,26.086956521739136,False,Low,False,True,20,-10.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.959966,2025-05-31 20:14:23,27.77777777777778,False,Low,False,True,20,9.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.942433,2025-05-31 20:14:27,23.529411764705888,False,Low,False,True,20,0.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,18,24,0.883855,2025-05-31 20:19:30,25.0,False,Low,False,True,20,-8.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.942392,2025-05-31 20:19:32,27.77777777777778,False,Low,False,True,20,8.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,26,34,0.919369,2025-05-31 20:19:34,23.529411764705888,False,Low,False,True,20,0.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,18,24,0.916403,2025-05-31 20:24:35,25.0,False,Low,False,True,20,-8.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,36,0.926215,2025-05-31 20:24:36,27.77777777777778,False,Low,False,True,20,8.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.910727,2025-05-31 20:24:39,19.999999999999996,False,Low,False,True,20,2.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.919721,2025-05-31 20:29:41,21.739130434782606,False,Low,False,True,20,-10.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,35,0.949734,2025-05-31 20:29:43,25.71428571428571,False,Low,False,True,20,8.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,34,0.880818,2025-05-31 20:29:44,17.647058823529417,False,Low,False,True,20,2.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 20:34:45,0.0,False,Low,False,True,20,-5.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,26,35,0.956707,2025-05-31 20:34:46,25.71428571428571,False,Low,False,True,20,3.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,34,0.856324,2025-05-31 20:34:47,17.647058823529417,False,Low,False,True,20,2.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 20:39:49,0.0,False,Low,False,True,20,-5.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,27,35,0.965003,2025-05-31 20:39:50,22.857142857142854,False,Low,False,True,20,4.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.858518,2025-05-31 20:39:52,19.999999999999996,False,Low,False,True,20,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,18,24,0.929,2025-05-31 20:44:53,25.0,False,Low,False,True,20,-10.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,28,36,0.97038,2025-05-31 20:44:54,22.22222222222222,False,Low,False,True,20,10.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,29,35,0.911451,2025-05-31 20:44:57,17.14285714285714,False,Low,False,True,20,1.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.927155,2025-05-31 20:50:00,26.086956521739136,False,Low,False,True,20,-12.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,29,35,0.972517,2025-05-31 20:50:02,17.14285714285714,False,Low,False,True,20,12.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,29,35,0.94038,2025-05-31 20:50:03,17.14285714285714,False,Low,False,True,20,0.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.915582,2025-05-31 20:55:05,26.086956521739136,False,Low,False,True,20,-12.0,26.2,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 20:55:09,0.0,False,Low,False,True,20,18.0,26.2,51,drizzle
Sultan Alauddin,-5.202323,119.495785,29,35,0.947147,2025-05-31 20:55:12,17.14285714285714,False,Low,False,True,20,-6.0,26.2,51,drizzle
Boulevard,-5.156843,119.446864,19,24,0.898227,2025-05-31 21:00:15,20.833333333333336,False,Low,False,True,21,-10.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,30,36,0.973645,2025-05-31 21:00:16,16.666666666666664,False,Low,False,True,21,11.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,30,35,0.951812,2025-05-31 21:00:16,14.28571428571429,False,Low,False,True,21,0.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.88627,2025-05-31 21:05:22,26.086956521739136,False,Low,False,True,21,-13.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:05:23,0.0,False,Low,False,True,21,18.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,29,35,0.957744,2025-05-31 21:05:24,17.14285714285714,False,Low,False,True,21,-6.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,17,23,0.895325,2025-05-31 21:10:25,26.086956521739136,False,Low,False,True,21,-12.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:10:27,0.0,False,Low,False,True,21,18.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.95947,2025-05-31 21:10:30,19.999999999999996,False,Low,False,True,21,-7.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,19,23,0.900251,2025-05-31 21:15:32,17.391304347826086,False,Low,False,True,21,-9.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:15:33,0.0,False,Low,False,True,21,16.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,29,34,0.95518,2025-05-31 21:15:34,14.70588235294118,False,Low,False,True,21,-6.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 21:20:37,0.0,False,Low,False,True,21,-6.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:20:37,0.0,False,Low,False,True,21,12.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,34,0.950416,2025-05-31 21:20:39,17.647058823529417,False,Low,False,True,21,-7.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 21:25:40,0.0,False,Low,False,True,21,-5.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:25:42,0.0,False,Low,False,True,21,12.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.957263,2025-05-31 21:25:44,19.999999999999996,False,Low,False,True,21,-7.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 21:30:45,0.0,False,Low,False,True,21,-5.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:30:48,0.0,False,Low,False,True,21,12.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,29,35,0.947406,2025-05-31 21:30:52,17.14285714285714,False,Low,False,True,21,-6.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,18,23,0.93,2025-05-31 21:35:53,21.739130434782606,False,Low,False,True,21,-11.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:35:55,0.0,False,Low,False,True,21,17.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,34,0.939439,2025-05-31 21:35:57,17.647058823529417,False,Low,False,True,21,-7.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 21:40:59,0.0,False,Low,False,True,21,-5.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:41:01,0.0,False,Low,False,True,21,12.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,27,35,0.961997,2025-05-31 21:41:02,22.857142857142854,False,Low,False,True,21,-8.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 21:46:07,0.0,False,Low,False,True,21,-4.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:46:25,0.0,False,Low,False,True,21,12.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.959614,2025-05-31 21:46:27,19.999999999999996,False,Low,False,True,21,-7.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 21:51:33,0.0,False,Low,False,True,21,-5.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:51:39,0.0,False,Low,False,True,21,12.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.949096,2025-05-31 21:51:41,19.999999999999996,False,Low,False,True,21,-7.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 21:56:42,0.0,False,Low,False,True,21,-5.0,25.8,51,drizzle
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-31 21:56:44,0.0,False,Low,False,True,21,12.0,25.8,51,drizzle
Sultan Alauddin,-5.202323,119.495785,28,35,0.940782,2025-05-31 21:56:45,19.999999999999996,False,Low,False,True,21,-7.0,25.8,51,drizzle
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-31 22:01:46,0.0,False,Low,False,True,22,-5.0,25.7,51,drizzle
